For the Defense,John Cromwell,NA,Drama,NA,1930,/wiki/For_the_Defense_(1930_film)
Free and Easy,Edward Sedgwick,NA,Comedy,NA,1930,/wiki/Free_and_Easy_(1930_film)
General Crack,Alan Crosland,NA,Drama,NA,1930,/wiki/General_Crack
The Girl of the Golden West,John Francis Dillon,NA,Drama,NA,1930,/wiki/The_Girl_of_the_Golden_West_(1930_film)
The Girl Said No,Sam Wood,NA,Comedy,NA,1930,/wiki/The_Girl_Said_No_(1930_film)
The Green Goddess,Alfred E. Green,NA,Adventure,NA,1930,/wiki/The_Green_Goddess_(1930_film)
Golden Dawn,Ray Enright,NA,Operetta,NA,1930,/wiki/Golden_Dawn_(film)
Going Wild,William A. Seiter,NA,Musical,NA,1930,/wiki/Going_Wild
Good News,Nick Grinde,NA,Musical,NA,1930,/wiki/Good_News_(1930_film)
Grumpy,George Cukor,NA,Drama,NA,1930,/wiki/Grumpy_(1930_film)
Half Shot at Sunrise,Paul Sloane,NA,Comedy,NA,1930,/wiki/Half_Shot_at_Sunrise
Hell Harbor,Henry King,NA,Drama,NA,1930,/wiki/Hell_Harbor
Hell's Angels,Howard Hughes,NA,"Drama, War",NA,1930,/wiki/Hell%27s_Angels_(film)
Hell's Heroes,William Wyler,NA,Western,NA,1930,/wiki/Hell%27s_Heroes_(film)
High Society Blues,David Butler,NA,"Musical, Comedy",NA,1930,/wiki/High_Society_Blues
Hold Everything,Roy Del Ruth,NA,Musical comedy,NA,1930,/wiki/Hold_Everything_(1930_film)
Holiday,Edward H. Griffith,NA,Romantic comedy,NA,1930,/wiki/Holiday_(1930_film)
Honey,Wesley Ruggles,NA,Comedy,NA,1930,/wiki/Honey_(1930_film)
"Hook, Line and Sinker",Edward F. Cline,NA,Comedy,NA,1930,"/wiki/Hook,_Line_and_Sinker_(1930_film)"
Hot Curves,Norman Taurog,NA,Comedy,NA,1930,/wiki/Hot_Curves
In Gay Madrid,Robert Z. Leonard,NA,Musical comedy,NA,1930,/wiki/In_Gay_Madrid
In the Next Room,Edward F. Cline,NA,Mystery,NA,1930,/wiki/In_the_Next_Room
Ingagi,William Campbell,NA,Exploitation,NA,1930,/wiki/Ingagi
Inside the Lines,Roy Pomeroy,NA,"Drama, War",NA,1930,/wiki/Inside_the_Lines
Journey's End,James Whale,NA,War,co-produced with GB,1930,/wiki/Journey%27s_End_(1930_film)
Just Imagine,David Butler,NA,Musical,NA,1930,/wiki/Just_Imagine
King of Jazz,John Murray Anderson,NA,Musical,NA,1930,/wiki/King_of_Jazz
Kismet,John Francis Dillon,NA,Costume drama,NA,1930,/wiki/Kismet_(1930_film)
Ladies Love Brutes,Rowland V. Lee,NA,NA,NA,1930,/wiki/Ladies_Love_Brutes
Ladies of Leisure,Frank Capra,NA,Romantic drama,NA,1930,/wiki/Ladies_of_Leisure
The Lady of Scandal,Sidney Franklin,NA,Romantic comedy,NA,1930,/wiki/The_Lady_of_Scandal
A Lady to Love,Victor Sjostrom,NA,Drama,NA,1930,/wiki/A_Lady_to_Love
Leathernecking,Edward F. Cline,J. Roy Hunt,Musical comedy,NA,1930,/wiki/Leathernecking
Let Us Be Gay,Robert Z. Leonard,NA,Comedy drama,NA,1930,/wiki/Let_Us_Be_Gay
Let's Go Native,Leo McCarey,NA,Musical comedy,NA,1930,/wiki/Let%27s_Go_Native
The Life of the Party,Roy Del Ruth,NA,Musical comedy,NA,1930,/wiki/The_Life_of_the_Party_(1930_film)
Lightnin',Henry King,NA,Comedy,NA,1930,/wiki/Lightnin%27_(1930_film)
Lilies of the Field,Alexander Korda,NA,Drama,NA,1930,/wiki/Lilies_of_the_Field_(1930_film)
Little Accident,William James Craft,NA,Comedy,NA,1930,/w/index.php?title=Little_Accident_(film)&action=edit&redlink=1
Loose Ankles,Ted Wilde,NA,Romantic comedy,NA,1930,/wiki/Loose_Ankles
Lord Byron of Broadway,Harry Beaumont,"Charles Kaley, Ethelind Terry",Musical drama,NA,1930,/wiki/Lord_Byron_of_Broadway
The Lottery Bride,Paul L. Stein,NA,Musical,NA,1930,/wiki/The_Lottery_Bride
Lotus Lady,Phil Rosen,NA,Drama,NA,1930,/wiki/Lotus_Lady
Lovin' the Ladies,Melville W. Brown,NA,Comedy,NA,1930,/wiki/Lovin%27_the_Ladies
Madam Satan,Cecil B. DeMille,NA,Drama,NA,1930,/wiki/Madam_Satan
Mamba,Albert S. Rogell,NA,NA,NA,1930,/wiki/Mamba_(film)
Mammy,Michael Curtiz,NA,Musical,NA,1930,/wiki/Mammy_(film)
The Man from Blankley's,Alfred E. Green,NA,Comedy,NA,1930,/wiki/The_Man_from_Blankley%27s
A Man from Wyoming,Rowland V. Lee,NA,Western,NA,1930,/wiki/A_Man_from_Wyoming
Man to Man,Allan Dwan,NA,Drama,NA,1930,/wiki/Man_to_Man_(1930_film)
Manslaughter,George Abbott,NA,Drama,NA,1930,/wiki/Manslaughter_(1930_film)
The Matrimonial Bed,Michael Curtiz,NA,Comedy,NA,1930,/wiki/The_Matrimonial_Bed
Maybe It's Love,William A. Wellman,NA,Musical comedy,NA,1930,/wiki/Maybe_It%27s_Love
The Medicine Man,Scott Pembroke,NA,Comedy,NA,1930,/wiki/The_Medicine_Man_(1930_film)
Men Without Women,John Ford,NA,Drama,NA,1930,/wiki/Men_Without_Women_(film)
Min and Bill,George W. Hill,NA,Comedy drama,NA,1930,/wiki/Min_and_Bill
Moby Dick,Lloyd Bacon,NA,Drama,NA,1930,/wiki/Moby_Dick_(1930_film)
Monte Carlo,Ernst Lubitsch,NA,Musical,NA,1930,/wiki/Monte_Carlo_(1930_film)
Morocco,Josef von Sternberg,NA,Drama,NA,1930,/wiki/Morocco_(film)
Mothers Cry,Hobart Henley,NA,Drama,NA,1930,/wiki/Mothers_Cry
Murder Will Out,Clarence G. Badger,NA,Mystery,NA,1930,/wiki/Murder_Will_Out_(1930_film)
New Movietone Follies of 1930,Benjamin Stoloff,NA,Musical,NA,1930,/wiki/New_Movietone_Follies_of_1930
"No, No, Nanette",Clarence G. Badger,NA,Musical,NA,1930,"/wiki/No,_No,_Nanette_(1930_film)"
Not So Dumb,King Vidor,NA,Comedy,NA,1930,/wiki/Not_So_Dumb
A Notorious Affair,Lloyd Bacon,NA,Romantic drama,NA,1930,/wiki/A_Notorious_Affair
